,zeolite,pressure,temperature,loading (n),loading std (n),loading (v),loading std (v),density (g/mL)
10666,TSC-0,54.5955522,342.85714286,70.23650850000001,0.2599953852677045,4.0143539059328335,0.014859985393121337,1.3186791906150963
10667,TSC-0,54.5955522,400.0,48.576389500000005,0.09141688599214108,2.77637404093684,0.00522491423887884,1.3186791906150963
10668,TSC-0,148.40433190000005,200.0,185.80723700000001,0.3050416227632077,10.619776289157905,0.017434594286695776,1.3186791906150963
10669,TSC-0,148.40433190000005,218.18181818,175.94996650000002,0.13890617741662042,10.056385921689518,0.00793915540193058,1.3186791906150963
10670,TSC-0,148.40433190000005,240.0,162.79267149999995,0.3855153242096709,9.304383299367244,0.022034052953216973,1.3186791906150963
10671,TSC-0,148.40433190000005,266.66666667,146.005248,0.585330265544162,8.344901392635313,0.033454436843879734,1.3186791906150963
10672,TSC-0,148.40433190000005,300.0,125.542556,0.4862023801031759,7.17536023362254,0.027788801939679003,1.3186791906150963
10673,TSC-0,148.40433190000005,342.85714286,103.14341,0.4617195149113823,5.8951414249860035,0.026389488568184304,1.3186791906150963
10674,TSC-0,148.40433190000005,400.0,80.823352,0.12351599832410386,4.6194428755208445,0.007059532726025636,1.3186791906150963
10675,TSC-0,403.4,200.0,198.3866555,0.11766893235047332,11.338750493148108,0.006725344813916592,1.3186791906150963
10676,TSC-0,403.4,218.18181818,189.651063,0.2439787095670457,10.839469412383504,0.01394455542611279,1.3186791906150963
10677,TSC-0,403.4,240.0,179.825487,0.07780861598819737,10.277890537863566,0.004447136228410522,1.3186791906150963
10678,TSC-0,403.4,266.66666667,167.50049199999998,0.4807025035590956,9.573457859253802,0.027474457571508726,1.3186791906150963
10679,TSC-0,403.4,300.0,151.945515,0.11325022207481067,8.684416191178208,0.0064727942923564295,1.3186791906150963
10680,TSC-0,403.4,342.85714286,134.188204,0.1893009706050252,7.6695005540816705,0.010819459950022748,1.3186791906150963
10681,TSC-0,403.4,400.0,113.99305700000001,0.17936894875645354,6.515250877215432,0.010251797183847982,1.3186791906150963
10682,TUN-0,1.0,200.0,119.569453,0.11140043073524944,4.552152442553167,0.004241147970066606,1.7567621258601818
10683,TUN-0,1.0,218.18181818,97.638628,0.15079476372873432,3.717219639181087,0.005740937461944581,1.7567621258601818
10684,TUN-0,1.0,240.0,69.69179399999999,0.20265114663382428,2.6532501598298026,0.0077151721362760176,1.7567621258601818
10685,TUN-0,1.0,266.66666667,40.3435635,0.21756190732870093,1.5359278354131451,0.008282842674314719,1.7567621258601818
10686,TUN-0,1.0,300.0,19.411376,0.11596834054172125,0.7390143590580607,0.004415053773440235,1.7567621258601818
10687,TUN-0,1.0,342.85714286,8.6609815,0.06278613242189643,0.3297339504441221,0.0023903433434858657,1.7567621258601818
10688,TUN-0,1.0,400.0,3.6706795,0.0256361563519187,0.13974716980393675,0.0009759992107270184,1.7567621258601818
10689,TUN-0,2.7182494999999998,200.0,136.0594945,0.33248938668851197,5.179948094441179,0.012658269614541232,1.7567621258601818
10690,TUN-0,2.7182494999999998,218.18181818,120.07703400000001,0.2725302671777889,4.571476659825814,0.010375554042244049,1.7567621258601818
10691,TUN-0,2.7182494999999998,240.0,99.0562295,0.11951589526294205,3.771189428026673,0.004550113435285798,1.7567621258601818
10692,TUN-0,2.7182494999999998,266.66666667,71.60317649999998,0.5410505317994692,2.7260187834014804,0.020598442479081356,1.7567621258601818
10693,TUN-0,2.7182494999999998,300.0,42.6341725,0.3474630798869163,1.6231340665421294,0.013228336068446157,1.7567621258601818
10694,TUN-0,2.7182494999999998,342.85714286,21.053319,0.05769849913125837,0.8015250977998619,0.0021966510439083557,1.7567621258601818
10695,TUN-0,2.7182494999999998,400.0,9.3733045,0.02613395952587327,0.3568529411476825,0.0009949511744382627,1.7567621258601818
10696,TUN-0,7.3888803,200.0,148.09793050000005,0.2636497131128699,5.638265787354938,0.01003746070097994,1.7567621258601818
10697,TUN-0,7.3888803,218.18181818,136.30248799999998,0.1187062579984676,5.189199148341622,0.004519289573851629,1.7567621258601818
10698,TUN-0,7.3888803,240.0,120.366624,0.08041359737011357,4.582501698351656,0.003061442069848602,1.7567621258601818
10699,TUN-0,7.3888803,266.66666667,99.938277,0.3751045910702739,3.804770033949264,0.0142806815420785,1.7567621258601818
10700,TUN-0,7.3888803,300.0,72.652885,0.320767677576779,2.7659824446239147,0.012212010094026957,1.7567621258601818
10701,TUN-0,7.3888803,342.85714286,44.322992,0.0342663946162966,1.6874294498450575,0.0013045627293291329,1.7567621258601818
10702,TUN-0,7.3888803,400.0,22.628589,0.052351357651930684,0.8614975154890248,0.001993078956430563,1.7567621258601818
10703,TUN-0,20.0848201,200.0,156.59850749999995,0.2265209502463144,5.961892946154945,0.008623924180311122,1.7567621258601818
10704,TUN-0,20.0848201,218.18181818,148.28465599999996,0.06129201579325079,5.645374651028603,0.002333460531949211,1.7567621258601818
10705,TUN-0,20.0848201,240.0,136.15445900000003,0.06448531001709595,5.183563506821052,0.002455033071892341,1.7567621258601818
10706,TUN-0,20.0848201,266.66666667,120.5349375,0.2254942312000613,4.588909595108863,0.008584835755157354,1.7567621258601818
10707,TUN-0,20.0848201,300.0,100.3438705,0.2760099396480101,3.8202114648112815,0.010508029345402237,1.7567621258601818
10708,TUN-0,20.0848201,342.85714286,73.98264,0.22444417762998256,2.816607811884291,0.008544858956703304,1.7567621258601818
10709,TUN-0,20.0848201,400.0,45.925014,0.21840548571865448,1.7484203482505547,0.008314958715092084,1.7567621258601818
10710,TUN-0,54.5955522,200.0,161.47262450000002,0.0971260661434467,6.1474564245363315,0.0036977057947269625,1.7567621258601818
10711,TUN-0,54.5955522,218.18181818,155.89960349999998,0.1822801073746142,5.935284832871112,0.006939622246278949,1.7567621258601818
10712,TUN-0,54.5955522,240.0,147.5321915,0.1438290548272623,5.616727425289356,0.005475744572001802,1.7567621258601818
10713,TUN-0,54.5955522,266.66666667,135.8299265,0.2794577923130878,5.171208165423256,0.010639293230424923,1.7567621258601818
10714,TUN-0,54.5955522,300.0,120.19743799999999,0.14699052924593395,4.5760605844733,0.0055961056938100655,1.7567621258601818
